,TPL/ULTA,TPL/TKO,GPN/OMC,FOX/MDT,LHX/HOOD,MU/WBD,FIX/MAA,FSLR/MAA,STZ/MU,AME/QCOM,KIM/NCLH,HII/UDR,LHX/TPL,DVA/DGX,GOOG/MU,DDOG/PGR,GOOGL/MU,AME/CI,XOM/PHM,XOM/GWW,XOM/VLO,XOM/WM,XOM/XEL,CRWD/ERIE,RTX/TEL,LHX/PLTR
KIM/NCLH,0.297364055431667,0.3513377285046451,-0.17182283714725596,0.052093270056571966,0.014469981040732386,0.34938533258224747,0.21094119674981981,0.16981730932825517,-0.17447925511320808,-0.18981920771086344,1.0,-0.010060756771211477,0.4065470853230173,0.5103063609813061,-0.06766459750608503,0.34741982802643645,-0.05520981063627458,0.3284836530348757,-0.10711492884355588,0.037823471035172196,-0.3009021928352496,-0.08557305114455023,-0.12611232049473883,0.3495842855224401,-0.20498732556859883,0.14185709932473328
HII/UDR,-0.10096437063357108,-0.12675512630020588,-0.16097336321652075,0.17008798354538412,0.2746964616465502,-0.14345158079849185,0.6035666457514354,0.47487614253031996,0.47273831139455624,0.36261896206237504,-0.010060756771211477,1.0,-0.36921056214391107,-0.035372906356024136,0.0485300325690152,-0.007106289580780009,0.045228253503070574,0.4435388945697499,0.2107023597723326,0.46020289786843677,0.4836256546442631,0.5374924271693758,0.46936527817632956,-0.1684122794508984,0.3760478147719518,-0.007933635865599474
LHX/TPL,0.7438733180400232,0.6194522920325352,-0.08412458303708782,-0.012928379723304186,-0.05899458227150911,0.1376619917535427,-0.02829716334688275,0.048463383831347885,-0.22351772716868964,-0.3139412695847056,0.4065470853230173,-0.36921056214391107,1.0,0.35197726483535474,-0.07707577083401881,0.5167976817916127,-0.06819517008324628,-0.017740220725673626,0.008072455838665307,0.04729987983618275,-0.2726214155849537,-0.12513790102061634,-0.13289806172944907,0.42257986757772614,-0.3510224000144087,0.2170489804036283
DVA/DGX,0.27104059412964754,0.38478526133557844,-0.03135015319803178,-0.169624033811242,-0.03294489481170495,0.1483373628010281,0.06904787026536004,0.07395497197728866,-0.3352492425204577,-0.13672318589330154,0.5103063609813061,-0.035372906356024136,0.35197726483535474,1.0,0.05833488544444976,0.26051581672185214,0.0643141380835183,0.277489317869326,-0.21320224435131083,-0.04434315078942631,-0.266515430047033,0.01807920149266239,-0.08080580335473668,0.08623180589425841,-0.3042844446080514,0.20327260906095432
GOOG/MU,-0.10082540235786505,0.03789063989969324,-0.009583710309484081,-0.21130384799219348,0.06107590588575246,-0.6531643948431621,0.2996944198630965,0.12008187741961927,-0.2785179531366568,0.20571586114650517,-0.06766459750608503,0.0485300325690152,-0.07707577083401881,0.05833488544444976,1.0,-0.3631996717276059,0.9995522732663551,-0.2119404896254687,-0.4008920747680502,-0.20069262559133835,-0.1518435660610605,-0.08678761399242835,-0.11064732068903223,-0.5364963971147821,-0.28514291217656523,-0.031652280028426044
DDOG/PGR,0.4969625768223665,0.23955749114502028,0.10484179281031711,0.05459958353478496,-0.08725013688825779,0.41846906571767534,0.07066415727068734,0.3066404339421253,0.10563741774842225,-0.06407350153602047,0.34741982802643645,-0.007106289580780009,0.5167976817916127,0.26051581672185214,-0.3631996717276059,1.0,-0.35396824299615853,0.2100443386486967,0.24274835106184994,0.2916335098674095,-0.11445968378853134,0.1572821710227909,0.11349146365724792,0.6082189729426108,-0.07331016148227197,0.25346225232650016
GOOGL/MU,-0.09749148825335258,0.037581314968820785,-0.0052159159104447125,-0.2078143002445252,0.06388999565738196,-0.6444353761570445,0.2981537207424208,0.11761425889358228,-0.28054701593156967,0.21092303668078713,-0.05520981063627458,0.045228253503070574,-0.06819517008324628,0.0643141380835183,0.9995522732663551,-0.35396824299615853,1.0,-0.21560639417391222,-0.41122603388169604,-0.20863471687891103,-0.16616816773166135,-0.09587851535841568,-0.1205111018525924,-0.5287542800532431,-0.29565195369129127,-0.028904173960552195
AME/CI,0.2185051985998882,0.38073784867837424,-0.3365545098736415,0.2766596565434138,0.031892850248226856,0.26211605898739243,0.506931468578877,0.528405752489594,0.21512081957212725,0.15461790608805379,0.3284836530348757,0.4435388945697499,-0.017740220725673626,0.277489317869326,-0.2119404896254687,0.2100443386486967,-0.21560639417391222,1.0,0.2309874620715534,0.505510513395171,0.26740131162855635,0.3838652640024865,0.4172493026969948,0.008252658988055855,0.10844903680927523,0.005385389080591654
XOM/PHM,0.024924992176101987,-0.09233159048597196,-0.03821263292140179,0.13460106816965114,-0.046780958603737224,0.014893353531719104,0.19675622762228825,0.3622365676004266,0.2660826573468426,-0.21739522969744646,-0.10711492884355588,0.2107023597723326,0.008072455838665307,-0.21320224435131083,-0.4008920747680502,0.24274835106184994,-0.41122603388169604,0.2309874620715534,1.0,0.8604012864961158,0.7797760975741762,0.7440138502042694,0.8005965259147528,0.25847147092304223,0.41333514663263354,0.17523306308714265
XOM/GWW,0.18696390451373887,0.12206642231955478,-0.09811294870898668,0.22045834414032273,0.025444439091849583,-0.03683809725044046,0.47305316559721877,0.5540996562827964,0.25093815620791293,-0.059253187491864194,0.037823471035172196,0.46020289786843677,0.04729987983618275,-0.04434315078942631,-0.20069262559133835,0.2916335098674095,-0.20863471687891103,0.505510513395171,0.8604012864961158,1.0,0.7978058338061219,0.8526125765025736,0.9398138096821003,0.11157935393853653,0.26911392254412275,0.14352511907458973
XOM/VLO,-0.11175697692176366,-0.1766266659523842,-0.16342230384283052,0.08868027147260056,0.19433035254540695,-0.22539627404456805,0.2838330306020108,0.2780451604389085,0.3255540724517609,-0.013488306303182882,-0.3009021928352496,0.4836256546442631,-0.2726214155849537,-0.266515430047033,-0.1518435660610605,-0.11445968378853134,-0.16616816773166135,0.26740131162855635,0.7797760975741762,0.7978058338061219,1.0,0.8291979330540712,0.8409007240369238,-0.19350709790277298,0.44698098051983226,0.10888603522262702
XOM/WM,0.008361606363057784,-0.08206735855779135,-0.04696483570069088,0.004044411507048886,0.21278609220195102,-0.18268124668849978,0.41444266076658925,0.39611755951690625,0.19221167600690142,0.008132680126083236,-0.08557305114455023,0.5374924271693758,-0.12513790102061634,0.01807920149266239,-0.08678761399242835,0.1572821710227909,-0.09587851535841568,0.3838652640024865,0.7440138502042694,0.8526125765025736,0.8291979330540712,1.0,0.8758727793529869,-0.05201583826286612,0.42198020342649906,0.27751080442523146
XOM/XEL,0.029260775088508707,0.025243009634878008,0.01090214680246367,0.18529289985725053,0.04635486814564387,-0.1443510754010983,0.4077220083648511,0.4296348613456308,0.15275831142786686,0.009159064281379388,-0.12611232049473883,0.46936527817632956,-0.13289806172944907,-0.08080580335473668,-0.11064732068903223,0.11349146365724792,-0.1205111018525924,0.4172493026969948,0.8005965259147528,0.9398138096821003,0.8409007240369238,0.8758727793529869,1.0,-0.04443890550400551,0.31946856570485777,0.10033052029972622
CRWD/ERIE,0.2717126663148263,0.034902938309142456,0.2977280633304282,0.025667002291993413,-0.2394269156309112,0.43743835049500773,-0.19798915548545756,-0.09323842131690409,0.08875159062353288,-0.3401296620878247,0.3495842855224401,-0.1684122794508984,0.42257986757772614,0.08623180589425841,-0.5364963971147821,0.6082189729426108,-0.5287542800532431,0.008252658988055855,0.25847147092304223,0.11157935393853653,-0.19350709790277298,-0.05201583826286612,-0.04443890550400551,1.0,0.09217400435415816,0.09428531213577197
RTX/TEL,-0.2722302806452718,-0.338022457003741,-0.05458891308917231,0.22097090930665592,0.2706910345591384,-0.09627095904380367,0.004666852369648952,0.011717638456841928,0.22348406976863214,0.011298852533855118,-0.20498732556859883,0.3760478147719518,-0.3510224000144087,-0.3042844446080514,-0.28514291217656523,-0.07331016148227197,-0.29565195369129127,0.10844903680927523,0.41333514663263354,0.26911392254412275,0.44698098051983226,0.42198020342649906,0.31946856570485777,0.09217400435415816,1.0,0.16127072319166935
LHX/PLTR,-0.0688720756036381,-0.2058560781548309,-0.08840269439946417,-0.09368868249835152,0.3996247900860671,-0.08636504447732421,-0.10743111768861884,-0.06204639831159978,-0.3705806916778924,-0.1488041252633354,0.14185709932473328,-0.007933635865599474,0.2170489804036283,0.20327260906095432,-0.031652280028426044,0.25346225232650016,-0.028904173960552195,0.005385389080591654,0.17523306308714265,0.14352511907458973,0.10888603522262702,0.27751080442523146,0.10033052029972622,0.09428531213577197,0.16127072319166935,1.0
