,LHX/HOOD,MU/WBD,FIX/MAA,FSLR/MAA,STZ/MU,AME/QCOM,KIM/NCLH,HII/UDR,LHX/TPL,DVA/DGX,GOOG/MU,DDOG/PGR,GOOGL/MU,AME/CI,XOM/PHM,XOM/GWW,XOM/VLO,XOM/WM,XOM/XEL,CRWD/ERIE,RTX/TEL,LHX/PLTR
GOOG/MU,-0.4019940821763533,-0.8116262027919187,-0.1695220517457204,0.14015662227421163,-0.8437278692523201,0.1239572233832412,0.1564989233409198,0.5995878700440118,-0.21468060735135291,-0.03878414005198496,1.0,0.6868237772826065,0.9997397808813571,-0.35916781880990883,-0.8437278692523201,-0.12343478704409802,-0.42370116322868673,-0.16035666342580768,-0.8437278692523202,0.21731689864443743,-0.8437278692523202,-0.4557775166531864
DDOG/PGR,-0.39394301288439465,-0.7867010691991738,-0.16436383874328142,0.13240805307161457,-0.8184889165118597,0.11805904587152868,0.14963669352042044,0.5787963766151776,-0.2089933650589971,-0.038584613502268855,0.6868237772826065,1.0,0.6861104269918781,-0.34977566277027483,-0.8184889165118596,-0.12087454436137637,-0.4120488867519834,-0.1570801319725229,-0.8184889165118596,0.21049822221559752,-0.8184889165118595,-0.4434503722234519
GOOGL/MU,-0.401764778800425,-0.8108737347457696,-0.16936648295540044,0.13991166989084144,-0.8429680793140352,0.12377246512946266,0.15628517425252275,0.5989525776486152,-0.21451181454946028,-0.03878129172888616,0.9997397808813571,0.6861104269918781,1.0,-0.3588895229569146,-0.8429680793140353,-0.12336143583808969,-0.42335374512841656,-0.1602630253249802,-0.8429680793140354,0.2171105848970284,-0.8429680793140353,-0.45541071823457574
AME/CI,0.19485306508039923,0.4085878443148572,0.3532761395624506,0.25588070209448943,0.42357184378956786,-0.0660640677719674,-0.08238435415434757,-0.30600730644059626,0.10648868016771568,0.01778868162771612,-0.35916781880990883,-0.34977566277027483,-0.3588895229569146,1.0,0.4235718437895679,0.33101981228163874,0.21091866573400264,0.18042012221242992,0.4235718437895679,-0.10965500233964533,0.42357184378956797,0.22652340569552168
XOM/PHM,0.4702186679597198,0.9629662257797194,0.2010570159419864,-0.17169166781115866,1.0,-0.15035029358451593,-0.18890452609509453,-0.7151189497425164,0.2532910503205544,0.04446130271386693,-0.8437278692523201,-0.8184889165118596,-0.8429680793140353,0.4235718437895679,1.0,0.14452172988949666,0.5005747735786855,0.187673476873508,1.0000000000000002,-0.258066056038062,1.0,0.5381458567274005
XOM/GWW,0.06434034213571778,0.13975783892732674,0.592929946116638,0.5734174877028863,0.14452172988949666,-0.023721997297952935,0.34341159059414683,-0.10594894777020161,0.6278780494230892,0.0055514092106719965,-0.12343478704409802,-0.12087454436137637,-0.12336143583808969,0.33101981228163874,0.14452172988949666,1.0,0.07141374067072204,0.5560125227577373,0.14452172988949663,0.40187527936533507,0.14452172988949663,0.07658453773053044
XOM/VLO,0.232114448186281,0.48256774542791414,0.10071571185747902,-0.08886619281679939,0.5005747735786855,-0.07706105830185726,-0.09635262139177182,-0.36031677675575713,0.12618751978036716,0.021466915994650445,-0.42370116322868673,-0.4120488867519834,-0.42335374512841656,0.21091866573400264,0.5005747735786855,0.07141374067072204,1.0,0.4815413389070811,0.5005747735786855,-0.12944258609237172,0.5005747735786855,0.2683085345810584
XOM/WM,0.08339111305195354,0.1815132232337781,0.2897188426576494,0.2454447108830915,0.187673476873508,-0.030893256961628986,-0.028477338860993514,-0.13769860715249388,0.3309483252611168,0.007170248511740992,-0.16035666342580768,-0.1570801319725229,-0.1602630253249802,0.18042012221242992,0.187673476873508,0.5560125227577373,0.4815413389070811,1.0,0.187673476873508,-0.0488206947132934,0.187673476873508,0.09939871751839977
XOM/XEL,0.4702186679597198,0.9629662257797195,0.20105701594198644,-0.1716916678111587,1.0,-0.15035029358451593,-0.18890452609509456,-0.7151189497425167,0.2532910503205544,0.04446130271386693,-0.8437278692523202,-0.8184889165118596,-0.8429680793140354,0.4235718437895679,1.0000000000000002,0.14452172988949663,0.5005747735786855,0.187673476873508,1.0,-0.2580660560380621,1.0,0.5381458567274005
CRWD/ERIE,-0.12236310228648127,-0.24834368354757994,0.7361427400655214,0.45568700990315636,-0.25806605603806204,0.03824057536177079,0.5363766252368896,0.18381812049008675,0.7182689175812643,-0.011719461544640977,0.21731689864443743,0.21049822221559752,0.2171105848970284,-0.10965500233964533,-0.258066056038062,0.40187527936533507,-0.12944258609237172,-0.0488206947132934,-0.2580660560380621,1.0,-0.25806605603806204,-0.13921115457771022
RTX/TEL,0.47021866795971984,0.9629662257797192,0.20105701594198644,-0.1716916678111587,0.9999999999999999,-0.1503502935845159,-0.18890452609509453,-0.7151189497425164,0.2532910503205544,0.04446130271386693,-0.8437278692523202,-0.8184889165118595,-0.8429680793140353,0.42357184378956797,1.0,0.14452172988949663,0.5005747735786855,0.187673476873508,1.0,-0.25806605603806204,1.0,0.5381458567274003
LHX/PLTR,0.6542018046178911,0.5188953434687467,0.10828959256800254,-0.09613046636547942,0.5381458567274003,0.05935984067176495,-0.10394894640022209,-0.38783796250821134,0.13553585031026116,-0.1945231079793859,-0.4557775166531864,-0.4434503722234519,-0.45541071823457574,0.22652340569552168,0.5381458567274005,0.07658453773053044,0.2683085345810584,0.09939871751839977,0.5381458567274005,-0.13921115457771022,0.5381458567274003,1.0
